"Price","Rooms","Regionname","Propertycount","Distance"
1480000,2,NA,4019,2.5
1035000,2,NA,4019,2.5
1465000,3,NA,4019,2.5
850000,3,NA,4019,2.5
1600000,4,NA,4019,2.5
941000,2,NA,4019,2.5
1876000,3,NA,4019,2.5
1636000,2,NA,4019,2.5
3e+05,1,NA,4019,2.5
1097000,2,NA,4019,2.5
7e+05,2,NA,4019,2.5
1350000,3,NA,4019,2.5
750000,2,NA,4019,2.5
1172500,2,NA,4019,2.5
441000,1,NA,4019,2.5
1310000,2,NA,4019,2.5
1200000,3,NA,4019,2.5
1176500,3,NA,4019,2.5
955000,3,NA,4019,2.5
890000,2,NA,4019,2.5
1330000,4,NA,4019,2.5
9e+05,3,NA,4019,2.5
1090000,3,NA,4019,2.5
5e+05,2,NA,4019,2.5
1100000,2,NA,4019,2.5
1315000,2,NA,4019,2.5
426000,1,NA,4019,2.5
1447500,3,NA,4019,2.5
457000,1,NA,4019,2.5
1135000,2,NA,4019,2.5
1542000,4,NA,4019,2.5
1290000,3,NA,4019,2.5
1290000,3,NA,4019,2.5
470000,1,NA,4019,2.5
1180000,2,NA,4019,2.5
1195000,3,NA,4019,2.5
1012500,2,NA,4019,2.5
1030000,2,NA,4019,2.5
840000,3,"Western Metropolitan",3464,13.5
730000,3,"Western Metropolitan",3464,13.5
770000,3,"Western Metropolitan",3464,13.5
603000,2,"Western Metropolitan",3464,13.5
7e+05,3,"Western Metropolitan",3464,13.5
6e+05,3,"Western Metropolitan",3464,13.5
5e+05,2,"Western Metropolitan",3464,13.5
720000,3,"Western Metropolitan",3464,13.5
785000,4,"Western Metropolitan",3464,13.5
725000,6,"Western Metropolitan",3464,13.5
450000,2,"Western Metropolitan",3464,13.5
515000,2,"Western Metropolitan",3464,13.5
530000,2,"Western Metropolitan",3464,13.5
895000,3,"Western Metropolitan",3464,13.5
805000,3,"Western Metropolitan",3464,13.5
752000,3,"Western Metropolitan",3464,13.5
440000,2,"Western Metropolitan",3464,13.5
755000,5,"Western Metropolitan",3464,13.5
7e+05,3,"Western Metropolitan",3464,13.5
830000,3,"Western Metropolitan",3464,13.5
462500,2,"Western Metropolitan",3464,13.5
670000,3,"Western Metropolitan",3464,13.5
675000,2,"Western Metropolitan",3464,13.5
1042000,3,"Western Metropolitan",3464,13.5
910000,3,"Western Metropolitan",3464,13.5
773000,4,"Western Metropolitan",3464,13.5
810000,3,"Western Metropolitan",3464,13.5
715000,3,"Western Metropolitan",3464,13.5
790000,3,"Western Metropolitan",3464,13.5
540000,3,"Western Metropolitan",3464,13.5
825000,3,"Western Metropolitan",3464,13.5
685000,3,"Western Metropolitan",3464,13.5
805000,3,"Western Metropolitan",3464,13.5
510000,2,"Western Metropolitan",3464,13.5
612000,3,"Western Metropolitan",3464,13.5
662000,3,"Western Metropolitan",3464,13.5
978000,4,"Western Metropolitan",3464,13.5
720000,3,"Western Metropolitan",3464,13.5
765000,4,"Western Metropolitan",3464,13.5
9e+05,4,"Western Metropolitan",3464,13.5
1275000,2,"Southern Metropolitan",3280,3.3
1455000,2,"Southern Metropolitan",3280,3.3
2850000,3,"Southern Metropolitan",3280,3.3
1850000,3,"Southern Metropolitan",3280,3.3
1436000,2,"Southern Metropolitan",3280,3.3
1110000,2,"Southern Metropolitan",3280,3.3
1550000,2,"Southern Metropolitan",3280,3.3
2300000,4,"Southern Metropolitan",3280,3.3
1550000,3,"Southern Metropolitan",3280,3.3
1800000,3,"Southern Metropolitan",3280,3.3
2120000,2,"Southern Metropolitan",3280,3.3
1800000,3,"Southern Metropolitan",3280,3.3
1800000,3,"Southern Metropolitan",3280,3.3
1810000,2,"Southern Metropolitan",3280,3.3
2615000,3,"Southern Metropolitan",3280,3.3
2100000,5,"Southern Metropolitan",3280,3.3
1300000,3,"Southern Metropolitan",3280,3.3
1370000,3,"Southern Metropolitan",3280,3.3
1e+06,2,"Southern Metropolitan",3280,3.3
2575000,3,"Southern Metropolitan",3280,3.3
1322500,2,"Southern Metropolitan",3280,3.3
1562500,2,"Southern Metropolitan",3280,3.3
2e+06,3,"Southern Metropolitan",3280,3.3
1900000,3,"Southern Metropolitan",3280,3.3
3010000,3,"Southern Metropolitan",3280,3.3
2800000,4,"Southern Metropolitan",3280,3.3
647000,2,"Southern Metropolitan",3280,3.3
